=== МЕТАДАННЫЕ ===
stream_name: NeuronSpectrum 11.03.2026 12:39:12
sampling_rate: 500.0
n_channels: 20
active_channels: 20
total_samples: 15180
timestamp: 2026-03-11_12-39-48
window_seconds: 0.2

=== ДАННЫЕ ЭЭГ ===
Сэмпл,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,T5,T6,FZ,CZ,PZ,Ch 20
23,-29.123545,9.845188,-7.502440,33.146366,43.120010,-63.168163,42.598732,-98.271935,-22.796127,12.390780,-15.873291,-25.615351,95.307259,-64.040733,59.000130,-48.036720,-98.795639,73.596848,-11.176033,-29.758072
24,-86.130081,65.011223,-57.810047,10.855834,-79.405556,95.495216,-175.036636,101.381523,-22.009619,-1.860197,-82.659706,45.615273,-129.218231,66.141525,-11.975819,-26.189787,55.553894,-33.404049,42.361244,7.683300
25,158.275299,-73.514542,78.083130,-44.335648,143.341721,-52.231861,-14.097503,33.744671,44.493610,97.673752,76.111023,6.185544,163.982498,-70.625725,82.187370,-12.745077,16.425793,108.790009,12.185326,5.195096
26,6.402493,-14.930627,6.970680,38.622276,103.029655,-9.102619,80.133636,-53.576092,96.268951,2.795345,84.085533,-16.780376,61.452534,37.839809,114.108795,-28.498825,-66.541359,41.276478,3.533792,13.975555
27,34.948372,-20.198895,-23.493187,76.088036,-51.708195,56.022541,55.797897,42.429588,-94.415680,41.621918,-60.577137,89.643173,-59.183224,16.884937,-27.115810,65.257851,86.288071,-77.657578,41.938477,57.219006
28,-91.855385,-53.070225,-21.891560,31.852072,-114.972473,-70.830574,-25.381226,-50.000626,-52.664421,-89.253746,-55.471188,-101.958000,-88.304146,-73.039742,-111.329643,-54.966389,-6.180206,-65.109100,-38.843384,-66.513603
29,-29.338352,-24.366749,-96.829536,17.880430,-72.776276,-14.072108,17.920422,19.068233,14.749865,-20.801262,-80.059700,3.923751,-91.997017,24.839195,-98.254196,-5.450856,1.786479,-50.821960,-95.418579,-14.215266
30,124.955360,-43.911400,58.730560,-116.547813,87.337456,-9.036396,30.368662,-37.838261,125.925781,-22.099186,107.980659,-8.344728,134.832596,46.760258,54.292698,-59.411640,0.419645,73.992111,-33.687572,-5.755340
31,-53.090458,-29.238800,72.480194,60.656757,7.090757,62.448845,63.325008,112.364418,122.549606,54.729511,-0.707560,36.885372,99.257584,78.774246,91.590820,94.890434,59.076180,29.666248,45.445683,-30.695562
32,38.004974,69.725739,57.461845,30.114960,42.696018,17.511343,54.733955,47.167625,53.827610,-49.881157,90.307091,85.218643,115.437851,-3.340900,116.358925,-3.749095,18.842453,53.785587,-43.440762,-23.140045
33,-36.684464,-79.970993,-14.209486,-32.651020,10.294429,-142.589996,-40.147907,-49.474857,-3.397512,-58.011776,-34.941074,-71.998688,15.971797,-84.574532,12.312718,-95.069496,-60.093784,-32.487774,-122.765312,-5.619156
34,-34.429188,16.200779,9.687170,11.177230,-27.735037,-55.339577,47.494331,-17.291622,14.162718,9.258962,-69.566658,-16.577341,-83.236664,20.358543,1.661928,0.543142,-41.848988,-25.129862,22.789989,-5.447508
35,-38.064259,17.872437,31.815769,93.366684,2.296738,14.790488,12.450348,-42.485588,24.000027,-68.278717,7.899371,11.414412,-16.951336,-19.852528,59.161926,-40.448639,15.868387,88.000626,97.118523,5.801260
36,12.058625,5.478061,32.617580,3.554471,-0.063526,-3.589838,-24.873047,2.692454,37.349171,9.649751,-16.274998,-10.859154,-13.119502,102.122734,48.700153,50.774780,11.388930,-6.925745,33.458656,-19.070868
37,-50.393478,23.086840,49.389908,-49.418434,11.989952,14.350052,102.304008,9.996907,-0.038923,-46.693249,6.230956,46.978966,74.450363,76.932701,59.046616,67.156960,60.708241,31.238548,12.572183,8.694598
38,45.673225,-22.742872,100.749680,-10.262841,22.892378,23.043844,-30.500843,46.709126,132.912827,16.959230,81.293533,14.441714,89.849464,54.746368,117.720055,72.049133,17.873434,27.129675,-30.359005,15.075712
39,-98.519859,-122.269470,-117.032242,7.472336,-39.398205,-83.973831,-144.290741,-129.974030,-37.995754,-47.608349,-21.438219,-64.938095,-56.553421,-105.571503,-71.429787,-51.559441,-54.130440,-65.125526,0.912420,38.527882
40,28.268070,-36.849014,-9.191811,-13.943589,-11.977722,6.264152,-92.287430,14.061470,71.113747,-28.664509,27.155693,13.312789,-3.530937,-93.444168,-5.482288,-39.318451,19.771820,2.639717,-19.546209,1.539817
41,165.269104,-52.600361,86.624733,13.600165,40.982544,8.857717,82.525116,-25.993351,12.569544,36.281128,50.787060,-55.245739,35.949413,19.462450,80.086472,29.223488,-27.102575,58.486187,-47.823795,87.641212
42,10.255826,-32.538906,-3.687474,27.948597,71.397865,38.988937,-37.767666,9.199857,-11.728491,5.276895,-13.618042,-73.534966,87.583160,-73.993851,3.026063,8.315395,17.327051,5.319554,-47.893364,-14.392746
43,-105.301689,67.914383,-133.736893,24.600914,-70.904282,67.530746,-167.318420,29.223421,-123.276436,-6.179463,-78.890442,127.880150,-164.154892,68.319542,-88.757401,62.511856,22.350199,-114.984703,43.113319,-93.633087
44,26.452709,40.043583,-51.632408,67.077118,69.129295,-69.424370,-39.092766,-3.469866,13.539142,45.475067,108.694542,-7.540220,19.020653,-57.466225,-60.440392,11.825253,76.552162,61.270439,30.535269,34.321915
45,-4.562518,-13.666642,-23.128330,-152.304535,-103.433067,-66.592491,-71.673431,-73.804161,-88.171677,-30.371525,-52.603943,-65.489540,16.057377,-83.424072,-67.319260,-112.073280,-75.770996,-23.370497,-6.116454,-37.743702
46,67.484360,-91.564598,70.548981,-37.770718,46.002750,73.551895,76.333488,28.835037,100.595558,-89.418198,74.129829,-52.400021,74.050087,-79.034233,-19.341026,-8.344955,19.834736,60.233658,-13.495102,26.441324
47,49.119705,41.812412,3.667007,-15.068334,-77.569199,72.126053,-71.552597,47.507908,-46.928001,32.564110,4.687485,1.350603,56.499580,26.106117,13.287584,49.132706,39.580727,-63.403976,15.764404,-11.079364
48,-2.139790,-25.772573,11.387032,-24.783924,72.407951,62.334118,-55.654781,62.206848,61.301647,1.447876,14.526717,-27.799269,20.302338,-11.661608,88.758415,50.394386,72.148239,5.106805,-7.375745,27.497627
49,87.461861,-3.694542,36.738831,21.215525,14.689451,-39.202454,-33.467762,27.446663,-74.440041,80.100014,11.839168,81.098518,61.203873,-90.073311,43.907310,8.455931,34.122211,-55.949093,-38.155273,4.016831
50,-25.406153,-74.198051,42.874985,3.746931,51.639832,47.308105,28.548515,-59.292912,113.925285,37.128944,4.638128,52.152702,111.133293,-5.508893,39.756714,-56.261833,-5.245151,48.668938,23.049917,45.263794
51,19.152794,82.929176,63.257408,48.073242,21.089554,24.391983,3.183615,80.617233,19.533148,35.802479,51.871365,64.038452,20.229256,-31.827011,13.757049,130.124939,46.680698,19.956186,7.873525,-39.801949
52,-2.856298,65.618416,51.981415,-18.270519,4.981085,-33.986702,3.722596,-21.693754,-9.492443,-4.663781,19.929674,34.928040,8.777831,8.234282,10.605448,29.012444,-31.463337,57.706783,13.819870,-2.935031
53,-98.298027,-26.750954,9.791960,-17.650789,3.954911,-80.820320,-26.289486,-66.949043,73.976074,-2.554236,57.872101,-54.534286,-85.041374,-145.422241,11.138036,-63.482410,-35.922153,-40.005222,-67.567429,52.874531
54,67.164604,-49.967377,52.736343,52.420845,-4.030346,27.749607,79.831093,-33.171116,79.327003,-16.101915,9.074775,30.826864,54.502926,-0.313195,45.006886,-12.643098,2.053457,74.149757,47.072971,-9.788773
55,10.607764,-19.035845,86.460068,10.480675,111.449913,-34.533432,107.880455,28.787071,104.699158,-42.200966,96.556030,-79.820732,90.353722,9.204239,137.951218,-18.941275,17.035221,130.501694,-28.376585,3.914733
56,-68.745926,38.125874,33.666023,55.214153,-11.852853,41.283436,28.385910,122.270477,-24.275837,102.674347,70.679153,31.525560,-29.632902,58.319454,-25.712111,43.867687,50.117493,-15.170822,10.990632,42.472721
57,75.289452,-1.571774,12.556684,-1.688357,120.886086,-149.903366,137.697662,-90.428917,92.965378,-59.554077,40.492081,-44.213097,93.151131,-90.363861,2.158966,-124.400383,-87.863838,34.259781,-53.215099,13.233676
58,-24.769712,-69.456268,-64.357864,-54.407207,-49.043510,-36.279251,55.347607,-27.997318,-11.719612,-31.147844,15.686823,-11.731339,-37.599743,-41.682919,-126.114929,24.732492,-72.686104,-97.893700,78.988655,61.308586
59,-76.586273,82.640053,13.097259,106.689308,11.016068,74.420372,-0.473149,73.138763,-36.299889,61.885891,56.621655,20.866617,5.244959,74.871284,20.946262,-8.746436,173.732758,64.764786,67.699806,35.115837
60,35.565662,-26.227583,118.676849,-39.868645,50.007401,26.286476,-11.976130,-37.395340,18.826748,29.226313,-35.510391,-58.665340,73.996002,26.761486,55.096489,1.867855,2.484403,-52.209076,91.109398,-58.259296
61,82.461098,-67.228554,13.495077,-93.938301,-20.986006,-129.632751,-51.844639,-71.916557,-62.749554,-49.478584,-46.258888,-92.072151,-21.811605,-75.816719,6.703330,-63.232460,-67.855278,-47.452122,-37.039639,37.510437
62,-85.681183,28.569435,-106.672760,-70.731071,-82.496284,28.523458,-89.782928,-18.531435,-83.775162,-13.077458,-34.213753,19.943739,-61.528030,31.244585,-125.858406,-36.384655,17.051901,-56.346828,-7.052201,10.929931
63,38.282452,31.849472,65.665894,94.372414,72.160652,-22.884026,23.750275,-3.172725,68.048965,26.551586,26.348894,8.904897,21.665884,33.510380,-37.988174,4.314883,-60.282906,-13.459608,-41.552319,2.019846
64,168.691650,-15.982104,118.378395,-13.291572,87.514725,35.361893,155.635178,-2.430015,53.026810,-46.355110,38.338779,-24.343687,43.323444,-66.028496,37.415684,22.426132,18.733047,55.705715,-0.403566,18.151564
65,36.998295,-127.831703,5.197509,-113.663895,40.283825,-117.815903,33.653893,-154.919083,38.312790,-81.831451,-12.909215,-68.411926,24.085392,-60.820595,61.945663,-97.362732,-88.108246,24.713066,-108.683304,-58.601749
66,-36.333565,67.778526,-78.589523,11.341589,-10.014683,-26.161322,-43.731659,-11.390670,-97.782333,-37.052399,-12.739182,24.675850,-59.003120,62.893051,-44.821426,41.899658,-18.169195,-26.835739,73.753532,-42.263191
67,132.546432,-23.458706,165.123962,-88.352211,106.810387,-45.274521,94.930664,-2.987432,83.022285,-51.950874,-20.872648,-25.405186,123.078674,-31.797794,29.126038,15.129697,-63.696774,70.748474,-84.404434,-39.981190
68,30.051783,14.445773,14.379144,78.206902,-15.408659,147.615372,-8.487985,162.646057,24.468332,67.645782,16.841429,33.191307,-45.284489,46.068802,-15.219073,73.474808,64.889015,72.834373,-5.109796,82.163094
69,-59.415432,2.180434,-81.689651,1.092824,-63.314381,-12.476354,-35.075096,-1.688267,-55.246109,-52.954048,-19.150230,11.846938,-92.973839,0.660971,31.959770,-43.155174,32.223434,-34.298824,-45.249325,41.031078
70,14.499257,57.522648,-1.206041,89.925194,26.350458,34.305477,57.726318,43.126293,87.964966,74.186821,-55.715855,131.447968,21.644461,58.628204,29.172766,91.244743,65.332634,-66.513557,36.198032,2.701763
71,-16.126610,-34.241714,4.864527,-61.440006,-4.512279,-98.244202,-11.554103,-93.062927,-35.223122,13.069722,32.210815,-123.247269,2.637261,-97.449692,-20.293440,-42.893990,26.198843,-1.488326,-92.154999,11.553677
72,41.621674,4.562546,-4.585242,32.622715,16.048222,-76.115982,57.191677,-97.047752,83.778763,-30.588802,24.796103,-30.599503,-22.332201,6.373790,-48.556931,1.270737,-9.496587,-54.351967,1.451221,41.441792
73,-64.508667,-53.553097,14.719663,69.307281,-17.316786,57.057869,-10.825510,56.939861,-33.782654,5.948839,-44.059101,46.201881,-35.033073,18.968487,-36.404766,77.677307,0.242231,-19.982201,16.276846,67.577927
74,29.033560,6.233771,-116.218201,23.882053,-3.181267,145.510559,-65.257347,38.392204,-20.137312,79.290306,-133.746857,60.855015,-88.035278,40.730846,-62.082851,56.268314,69.993370,-6.995862,138.969925,-71.079445
75,-46.479862,63.453613,-23.938519,97.009369,-52.889568,74.120041,-44.533287,99.289513,-13.003613,79.218887,-46.024658,84.419815,-48.137005,45.659267,-33.351505,73.414528,83.948357,-34.752941,158.213730,-64.344421
76,28.477087,72.518143,-29.384348,68.066223,54.002754,67.329979,-34.403065,154.145493,-42.213230,44.078171,24.903450,48.591965,-31.726610,46.961830,-39.315315,67.812782,140.831802,-8.376235,146.069946,27.734753
77,-12.509145,-69.705627,-7.008813,60.185143,-117.815765,-4.623378,4.542653,-34.116638,-62.171371,78.039276,-4.210777,-38.551777,-22.651550,5.439692,-85.531609,-44.339817,15.541831,9.020641,-32.741016,27.902540
78,-53.666191,-58.581310,-97.325905,-14.574356,-58.637196,-48.014267,-31.342449,-13.288136,-72.805679,-119.694626,-85.183914,-42.376595,-67.895142,-78.846939,-82.088631,3.986530,-40.331966,-72.690384,-132.793030,92.585571
79,27.757610,-54.138611,65.074303,-30.529499,2.591811,-7.809931,24.093050,-20.786360,-8.180694,-31.767639,60.235043,-33.857834,45.832668,-10.965023,82.529236,-67.759338,73.658249,86.405952,-37.698486,82.305710
80,7.826228,167.642365,-44.273109,124.970596,-88.378944,74.481964,-45.207119,56.691154,-12.115437,40.430763,31.429779,160.854721,-36.863060,137.567459,7.968200,62.615326,34.768120,22.165174,149.503754,-92.690880
81,-35.317642,-21.420315,-32.760727,79.775208,-56.047958,75.900345,28.944601,-57.520397,-42.845982,29.793327,-35.636627,36.915497,-67.704094,-83.729362,-24.335146,-59.887554,-55.183998,-32.348133,-15.686730,-35.703568
82,-6.784037,-130.988708,-18.023567,-127.613953,-55.947090,-74.779800,-10.782544,-123.392395,-72.081299,-95.687080,10.857944,-106.859001,-36.400383,-56.228790,-48.978142,-15.690598,-27.266739,9.781425,-84.861534,-29.035526
83,100.224312,-75.951759,28.758812,-5.569037,3.527200,-16.181654,37.705170,30.741808,15.720019,-19.141417,32.100975,-36.640720,34.492043,36.864216,10.988625,-17.095652,-19.122078,-15.922997,-11.225729,8.015642
84,-18.501699,63.699108,20.359756,116.375000,-13.098526,142.797760,9.986322,114.814842,-12.879916,8.248091,31.831001,9.313378,123.982857,90.053741,67.384872,53.903378,26.333605,-69.936531,25.926802,29.561703
85,60.111767,17.213285,36.399746,-10.783435,-2.532666,50.584293,69.846138,40.287037,33.139648,-17.921455,29.581774,41.791180,20.403612,104.959618,70.403336,35.606510,100.968987,101.588722,8.600648,21.064827
86,8.592365,23.450600,13.976421,30.555235,86.497902,36.261730,32.919537,49.041183,67.639221,46.771435,24.935183,33.193935,86.791870,33.279793,20.472124,-2.851477,35.044823,-18.988514,22.458212,3.136533
87,-116.772995,-19.836140,-79.664986,-28.791405,-39.235245,46.356750,-134.035370,3.869583,-73.867241,63.678074,-31.525749,-70.423424,-45.589512,-27.998602,-89.019638,41.590176,36.990494,-103.429359,25.035391,-9.570322
88,-41.197239,54.879810,1.867693,-94.091545,-38.970943,2.745526,-56.876698,6.910226,-40.471878,15.614603,-19.823400,63.759792,-22.756561,7.545341,-28.332569,-42.032433,8.888784,18.551138,-36.275578,34.507355
89,14.987986,-85.499115,42.218761,-111.836533,27.203325,-70.555496,40.622063,-95.847115,54.215168,-155.031174,88.945580,-96.347908,91.913261,-129.350677,39.671055,-82.191071,-64.033447,117.089088,-107.579887,30.044300
90,47.981682,-52.980568,120.721359,11.225802,73.702103,-18.734348,126.209724,-36.852428,32.921394,20.375620,112.246147,4.122046,43.526978,0.943569,38.900818,24.791496,6.597906,39.618759,-30.347359,76.828445
91,99.252647,-107.615921,-1.923465,2.091241,-7.557122,-42.710823,-56.729237,-28.222157,1.890735,-57.690754,24.966093,-15.927546,33.032120,-82.549210,-20.359968,-53.281361,-37.122684,23.749697,-42.715115,8.892447
92,14.420543,14.311634,-4.223569,-38.695518,-48.357273,-66.039909,90.383484,3.029072,38.088783,-37.745186,-8.736054,-86.949516,13.088308,-52.819283,27.471113,-101.902496,-98.964188,-6.140440,-55.564816,7.597659
93,-93.736992,45.328743,8.390224,-52.889503,18.786095,-52.253288,-17.016573,9.380492,-3.465198,72.479088,-48.445736,74.483482,-58.561539,-32.359653,53.338432,29.228075,27.967941,-17.015629,8.721592,21.007341
94,58.664474,-1.194279,30.210871,97.531364,2.640170,-20.159758,-6.280715,73.401741,-40.298954,43.875954,49.149006,23.935629,-30.034309,3.690922,0.460543,-17.610638,35.882954,-41.233631,23.980192,70.029640
95,36.861656,46.709831,98.818245,23.109350,14.343804,-98.126984,38.263454,16.528648,68.121590,-58.605087,-24.651937,-50.023212,-9.720006,-48.788700,75.286163,8.398455,13.478380,88.211136,-29.360039,62.528919
96,0.528997,-5.725661,-52.495808,65.488068,29.481487,24.526981,32.122063,42.572536,17.998507,-16.457150,-43.301521,-23.111395,-19.325670,-44.011765,18.585943,-49.058880,-30.051279,29.086866,-26.906700,-93.430260
97,40.815247,-31.324947,-48.991047,-21.315983,-4.220579,4.466220,40.156921,67.794243,-49.252514,-74.248276,-32.095112,59.415493,-14.837191,12.995883,-52.664486,-9.484096,5.118625,-47.218628,-9.450965,-3.432992
98,-55.011833,91.457779,36.613098,141.373627,16.336458,122.587532,10.274258,63.743885,53.546974,125.502060,40.109653,60.135769,3.951196,87.164139,51.846264,52.517849,81.834793,16.009108,131.260269,30.479197
99,71.084549,-29.080191,41.836395,39.169552,69.886147,-14.219928,63.870068,-86.037918,5.158421,2.360321,57.668339,-41.452934,103.040054,-24.742058,-21.847219,-117.319321,5.146201,-39.787052,49.495705,-23.265844
100,13.866434,-2.024713,39.695900,-26.397207,16.836107,-13.236321,53.540920,-5.919881,60.091572,15.233137,-4.804638,-82.223175,35.411964,65.117363,110.825966,-9.283958,9.338069,9.326848,-7.071784,83.988586
101,-33.934212,-31.391941,-30.455030,90.716431,-33.862888,1.954856,-40.155746,-14.452744,-25.606737,4.585808,61.404018,25.041973,7.075571,-76.371475,7.967328,-1.935959,-33.498634,-27.273272,-37.942574,9.977600
102,-7.834753,-10.923179,17.594381,-40.055885,8.858078,-4.475809,-3.661016,-30.599552,-5.257064,-70.686188,-40.268066,-27.395908,-56.557858,-20.203556,-14.901605,41.751156,35.212646,-98.175377,17.202616,44.154400
103,-11.069280,48.308216,-56.518784,48.807194,-0.991557,33.842113,-65.319855,50.888752,-56.081284,99.143898,-56.156857,20.238455,-30.874283,73.632607,-13.613262,58.617825,108.783279,-124.580956,44.887009,-38.123734
104,-22.272650,81.360428,1.733037,65.237915,34.252037,51.651939,-9.858641,43.268330,42.100975,38.240307,-65.484253,49.781460,92.101471,55.113186,-40.203411,113.737686,18.451109,11.015885,143.528061,-51.990086
105,-58.261559,41.222126,-109.424568,-14.123546,-39.958920,-43.055637,-36.915638,51.834816,-82.949654,42.421047,21.713484,-47.458004,-116.367241,1.775951,45.909679,-23.006908,62.804836,-32.587059,1.425097,58.479988
106,25.006205,-34.540333,-25.991179,-76.302063,91.179100,-39.446339,27.970417,-19.424971,17.058472,-15.843128,1.169614,-50.769154,29.867868,-19.823172,4.272924,23.741634,-17.195557,27.965544,-107.555130,5.407679
107,-36.106453,-47.897194,-6.244219,23.667696,25.011478,41.649158,-9.299343,-40.638157,-16.434120,27.405710,-17.688295,-9.842060,-57.247433,20.938787,-60.943932,3.560828,75.900040,-8.249266,-1.512833,-7.186297
108,-60.871990,1.509167,-158.615509,48.107082,-92.958084,4.686923,-84.419678,39.501785,-75.045235,97.395935,-110.810020,15.568406,-71.924789,-0.812272,-152.546219,8.223637,0.109103,11.390112,-20.670206,51.847542
109,47.854252,36.596325,56.099678,12.933109,70.847649,55.706833,139.448288,98.936234,109.465149,103.293594,84.634773,91.729622,103.645714,-38.166225,62.793552,41.978577,105.863892,119.725624,0.996544,-45.891575
110,-127.851540,77.581139,-131.937088,39.564762,-35.411926,-6.861190,-27.468582,-73.543922,23.202606,28.557152,-31.825359,14.927504,-53.190407,-68.776680,-3.804438,89.241959,-90.005707,-81.455658,-5.718223,38.283611
111,32.339489,-4.483920,28.461512,-70.414551,0.796301,-68.512192,28.463484,-46.574512,-20.624182,-34.460369,-1.338960,37.634975,-29.954538,-22.625166,7.271762,-65.443733,45.464169,87.207977,4.999780,21.547497
112,55.848789,-44.449078,-103.759338,21.945927,-55.092335,-43.867653,-30.297022,-45.244858,-80.540321,-17.122072,-31.688641,29.358822,-71.931770,-23.846636,-14.400233,36.606457,50.794353,-14.479236,-7.390094,-64.336609
113,38.694958,51.759789,50.501385,37.171955,61.435509,101.091911,41.991959,101.523895,36.123363,100.204254,140.134415,144.673431,73.298248,139.878571,77.170540,153.787689,122.653046,-24.519781,59.649937,-7.996006
114,-16.516184,-17.618425,-91.218399,-97.570709,-120.754807,-45.069946,-79.315933,-49.022854,-80.366920,-13.236171,-69.763741,7.113511,-57.937969,-23.316597,2.248067,-20.373257,-35.142147,-29.521175,29.715021,-4.784269
115,-11.890057,14.535899,-61.069012,-66.422318,-29.907465,19.417553,-43.164967,-41.935535,-13.373259,-68.790436,-82.079117,67.192093,-36.340637,-49.232803,-17.736820,-91.422997,-5.457940,-36.301617,7.501293,31.205629
116,-96.790710,-53.743622,-55.610195,56.666142,-47.231388,-13.122731,-105.295662,-65.059105,-13.529499,-3.486861,-4.528129,-20.815056,52.316116,-12.349848,-57.799465,49.540562,7.528317,-14.458529,-103.381584,-12.633290
117,-101.182304,49.198891,-54.082424,78.780563,-101.817192,96.467209,-33.227150,97.732315,-21.099176,42.304733,-47.285076,73.986862,-48.041630,38.155247,-39.793892,59.460194,-25.875307,-59.283997,17.398489,-17.837044
118,-74.423355,-28.803844,-123.608177,-31.247488,-84.067924,-96.518867,-124.935585,42.253529,-131.045685,-36.390213,-102.540741,-19.928013,-39.765804,-28.195641,-70.074890,-77.647163,-65.717873,-88.572845,-108.842690,-25.906174
119,9.849706,-62.543449,-63.376232,14.303634,29.901505,-8.143798,-66.923576,40.288158,9.385280,-81.707489,58.067314,-36.617100,-74.249413,-7.831888,58.830120,-40.919052,-18.859999,20.846165,-38.068340,-5.168982
120,-15.448609,6.798426,-86.601463,78.259117,10.811808,-77.483948,11.094353,5.653576,-16.975433,105.542404,3.154342,-13.505730,-94.445953,-27.226168,-23.689655,6.905482,-18.942738,-44.893803,-32.520439,-14.909749
